order_id,order_date,customer_id,customer_type,category,quantity,unit_price,discount_rate,order_amount,profit,payment_method,order_status
O0035,2025-04-17,C011,会员客户,图书,7,496.0,0.08,3194.24,1324.45,银行卡,已完成
O0036,2025-01-03,C003,会员客户,家居,1,809.0,0.08,744.28,209.25,微信支付,已完成
O0037,2025-06-12,C005,会员客户,数码,1,429.0,0.08,394.68,149.19,支付宝,已完成
O0038,2025-06-14,C046,会员客户,服装,6,1127.0,0.08,6221.04,2335.63,银行卡,已完成
O0039,2025-05-08,C002,会员客户,图书,3,646.0,0.08,1782.96,396.52,支付宝,已完成
O0040,2025-02-16,C026,普通客户,食品,2,535.0,0.02,1048.6,341.07,支付宝,已完成
O0041,2025-01-19,C005,普通客户,食品,7,548.0,0.02,3759.28,870.24,微信支付,已完成
O0042,2025-07-26,C007,普通客户,数码,2,55.0,0.02,107.8,36.05,支付宝,已完成
O0043,2025-01-03,C042,普通客户,食品,1,688.0,0.02,674.24,159.02,支付宝,已完成
O0044,2025-10-19,C045,普通客户,图书,6,1441.0,0.02,8473.08,2432.98,微信支付,已完成
O0045,2025-10-27,C017,普通客户,食品,2,730.0,0.02,1430.8,538.45,支付宝,已完成
O0046,2025-11-04,C017,普通客户,食品,6,1339.0,0.02,7873.32,2734.81,微信支付,已完成
O0047,2025-02-13,C022,普通客户,服装,3,78.0,0.02,229.32,49.16,银行卡,已完成
O0048,2025-11-05,C030,普通客户,数码,6,56.0,0.02,329.28,138.01,微信支付,已完成
O0049,2025-02-09,C021,会员客户,服装,1,1479.0,0.08,1360.68,480.04,支付宝,已完成
O0050,2025-04-26,C043,普通客户,家居,5,1046.0,0.02,5125.4,2211.28,银行卡,已完成
O0051,2025-02-20,C045,普通客户,数码,3,1158.0,0.02,3404.52,1153.15,银行卡,已完成
O0052,2025-04-27,C027,普通客户,服装,1,301.0,0.02,294.98,65.27,银行卡,已完成
O0053,2025-07-20,C003,会员客户,服装,2,598.0,0.08,1100.32,206.11,微信支付,已完成
O0054,2025-06-15,C042,普通客户,数码,3,448.0,0.02,1317.12,-65.86,微信支付,已退款
O0055,2025-01-19,C042,普通客户,图书,2,1490.0,0.02,0.0,0.0,银行卡,已取消
O0056,2025-06-30,C012,普通客户,数码,2,822.0,0.02,1611.12,711.32,支付宝,已完成
O0057,2025-04-07,C003,普通客户,图书,6,587.0,0.02,3451.56,920.96,银行卡,已完成
O0058,2025-05-29,C035,会员客户,数码,5,401.0,0.08,1844.6,695.35,支付宝,已完成
O0059,2025-03-24,C035,普通客户,图书,7,754.0,0.02,5172.44,1684.38,银行卡,已完成
O0060,2025-12-21,C017,普通客户,图书,7,157.0,0.02,1077.02,290.06,银行卡,已完成
O0061,2025-03-22,C029,普通客户,食品,6,359.0,0.02,2110.92,811.5,微信支付,已完成
O0062,2025-06-25,C050,普通客户,数码,7,1366.0,0.02,9370.76,3925.73,微信支付,已完成
O0063,2025-03-16,C020,普通客户,家居,5,594.0,0.02,2910.6,729.77,银行卡,已完成
O0064,2025-01-18,C034,会员客户,数码,6,916.0,0.08,0.0,0.0,微信支付,已取消
O0065,2025-01-11,C029,普通客户,家居,3,1468.0,0.02,4315.92,-215.8,银行卡,已退款
O0066,2025-05-05,C008,普通客户,食品,2,295.0,0.02,0.0,0.0,微信支付,已取消
O0067,2025-06-07,C036,普通客户,数码,7,645.0,0.02,4424.7,1358.83,银行卡,已完成
O0068,2025-01-19,C045,普通客户,图书,5,498.0,0.02,2440.2,943.35,银行卡,已完成
O0069,2025-04-11,C014,企业客户,食品,1,141.0,0.12,124.08,43.51,银行卡,已完成
O0070,2025-11-12,C035,会员客户,数码,7,254.0,0.08,1635.76,539.56,支付宝,已完成
O0071,2025-07-19,C036,普通客户,食品,4,1369.0,0.02,5366.48,2163.94,支付宝,已完成
O0072,2025-10-03,C002,会员客户,食品,7,854.0,0.08,5499.76,1969.63,银行卡,已完成
O0073,2025-05-28,C035,普通客户,食品,5,1401.0,0.02,6864.9,1917.83,微信支付,已完成
O0074,2025-01-16,C045,会员客户,服装,4,726.0,0.08,2671.68,1166.15,微信支付,已完成
O0075,2025-06-09,C041,会员客户,数码,2,1021.0,0.08,1878.64,773.86,微信支付,已完成
O0076,2025-08-04,C025,会员客户,数码,7,1096.0,0.08,7058.24,1680.73,微信支付,已完成
O0077,2025-06-20,C010,会员客户,服装,3,1100.0,0.08,3036.0,-151.8,银行卡,已退款
O0078,2025-07-10,C015,会员客户,数码,5,422.0,0.08,1941.2,544.62,银行卡,已完成
O0079,2025-01-17,C043,普通客户,数码,3,1035.0,0.02,3042.9,1204.99,微信支付,已完成
O0080,2025-05-06,C003,会员客户,服装,2,150.0,0.08,276.0,58.32,银行卡,已完成
O0081,2025-12-14,C018,会员客户,食品,3,476.0,0.08,1313.76,247.57,微信支付,已完成
O0082,2025-02-21,C048,企业客户,图书,1,1457.0,0.12,1282.16,278.47,银行卡,已完成
O0083,2025-09-16,C014,普通客户,家居,7,426.0,0.02,2922.36,-146.12,支付宝,已退款
O0084,2025-10-23,C037,普通客户,家居,2,404.0,0.02,0.0,0.0,银行卡,已取消
O0085,2025-02-24,C020,普通客户,图书,5,226.0,0.02,1107.4,323.83,微信支付,已完成
O0086,2025-01-09,C036,普通客户,服装,7,953.0,0.02,6537.58,1511.06,微信支付,已完成
O0087,2025-08-10,C020,企业客户,家居,2,472.0,0.12,830.72,167.33,支付宝,已完成
O0088,2025-07-17,C006,企业客户,家居,6,1155.0,0.12,6098.4,2046.81,支付宝,已完成
O0089,2025-03-20,C040,会员客户,图书,4,1112.0,0.08,4092.16,1237.39,支付宝,已完成
O0090,2025-04-13,C045,普通客户,数码,2,223.0,0.02,437.08,177.56,支付宝,已完成
O0091,2025-05-27,C040,会员客户,家居,6,967.0,0.08,5337.84,1791.18,银行卡,已完成
O0092,2025-07-08,C007,普通客户,数码,3,1428.0,0.02,4198.32,-209.92,银行卡,已退款
O0093,2025-04-24,C013,会员客户,图书,4,1283.0,0.08,4721.44,1520.17,微信支付,已完成
O0094,2025-12-05,C004,普通客户,食品,5,1003.0,0.02,4914.7,1101.75,支付宝,已完成
O0095,2025-04-13,C009,普通客户,服装,3,398.0,0.02,1170.12,349.64,支付宝,已完成
O0096,2025-08-31,C020,普通客户,数码,1,1493.0,0.02,1463.14,348.84,微信支付,已完成
O0097,2025-01-02,C040,会员客户,食品,3,1189.0,0.08,3281.64,-164.08,银行卡,已退款
O0098,2025-01-12,C023,会员客户,服装,7,1176.0,0.08,7573.44,3405.42,支付宝,已完成
O0099,2025-06-03,C018,普通客户,服装,1,1232.0,0.02,1207.36,363.87,银行卡,已完成
O0100,2025-04-28,C033,会员客户,家居,4,497.0,0.08,1828.96,466.76,银行卡,已完成
O0101,2025-03-21,C001,会员客户,图书,1,72.0,0.08,66.24,27.01,银行卡,已完成
O0102,2025-12-08,C045,会员客户,食品,2,1397.0,0.08,0.0,0.0,支付宝,已取消
O0103,2025-10-19,C030,普通客户,图书,1,386.0,0.02,378.28,89.78,支付宝,已完成
O0104,2025-06-04,C045,普通客户,服装,3,1252.0,0.02,3680.88,1318.57,银行卡,已完成
O0105,2025-11-11,C025,普通客户,数码,7,946.0,0.02,6489.56,2864.09,银行卡,已完成
O0106,2025-03-06,C014,普通客户,食品,1,216.0,0.02,0.0,0.0,微信支付,已取消
O0107,2025-09-06,C004,普通客户,服装,2,666.0,0.02,1305.36,585.14,支付宝,已完成
O0108,2025-05-03,C021,普通客户,食品,6,1443.0,0.02,8484.84,2146.67,支付宝,已完成
O0109,2025-02-27,C027,普通客户,家居,7,341.0,0.02,0.0,0.0,微信支付,已取消
O0110,2025-12-06,C028,会员客户,图书,3,834.0,0.08,2301.84,987.43,支付宝,已完成
O0111,2025-09-19,C016,会员客户,家居,2,1073.0,0.08,1974.32,379.82,微信支付,已完成
O0112,2025-03-16,C035,普通客户,服装,5,1425.0,0.02,6982.5,1339.4,银行卡,已完成
O0113,2025-09-11,C023,普通客户,家居,6,1176.0,0.02,0.0,0.0,支付宝,已取消
O0114,2025-03-29,C007,会员客户,图书,6,879.0,0.08,4852.08,2032.76,银行卡,已完成
O0115,2025-01-02,C041,会员客户,家居,1,1268.0,0.08,1166.56,365.6,微信支付,已完成
O0116,2025-08-25,C006,普通客户,数码,4,353.0,0.02,1383.76,360.94,微信支付,已完成
O0117,2025-03-12,C016,会员客户,图书,1,313.0,0.08,287.96,92.28,银行卡,已完成
O0118,2025-09-07,C044,普通客户,服装,2,474.0,0.02,929.04,202.49,支付宝,已完成
O0119,2025-04-23,C003,企业客户,服装,5,39.0,0.12,171.6,71.39,支付宝,已完成
O0120,2025-01-13,C002,普通客户,图书,2,1329.0,0.02,2604.84,-130.24,支付宝,已退款
O0121,2025-07-18,C036,普通客户,食品,3,1236.0,0.02,3633.84,733.24,银行卡,已完成
O0122,2025-05-07,C023,会员客户,食品,5,243.0,0.08,1117.8,436.33,银行卡,已完成
O0123,2025-05-01,C022,普通客户,图书,1,1238.0,0.02,1213.24,351.55,支付宝,已完成
O0124,2025-02-05,C027,普通客户,服装,1,1358.0,0.02,1330.84,-66.54,银行卡,已退款
O0125,2025-05-24,C036,普通客户,食品,7,1147.0,0.02,7868.42,3362.9,微信支付,已完成
O0126,2025-10-19,C024,普通客户,食品,2,335.0,0.02,656.6,140.87,微信支付,已完成
O0127,2025-01-24,C033,会员客户,图书,6,319.0,0.08,0.0,0.0,银行卡,已取消
O0128,2025-01-02,C026,会员客户,数码,3,1237.0,0.08,0.0,0.0,微信支付,已取消
O0129,2025-10-04,C038,会员客户,家居,7,1366.0,0.08,8797.04,2236.25,支付宝,已完成
O0130,2025-03-09,C012,普通客户,食品,6,141.0,0.02,829.08,214.53,微信支付,已完成
O0131,2025-05-22,C027,会员客户,数码,2,186.0,0.08,342.24,92.98,支付宝,已完成
O0132,2025-06-28,C028,会员客户,家居,7,1135.0,0.08,7309.4,1750.49,支付宝,已完成
O0133,2025-01-07,C005,普通客户,家居,2,416.0,0.02,815.36,279.76,微信支付,已完成
O0134,2025-10-10,C025,普通客户,图书,3,1169.0,0.02,3436.86,859.59,银行卡,已完成
O0135,2025-06-21,C044,会员客户,数码,2,148.0,0.08,272.32,80.63,微信支付,已完成
O0136,2025-04-16,C034,会员客户,食品,1,62.0,0.08,57.04,24.07,银行卡,已完成
O0137,2025-06-03,C047,普通客户,家居,3,654.0,0.02,1922.76,547.75,银行卡,已完成
O0138,2025-04-17,C024,企业客户,图书,2,260.0,0.12,457.6,93.44,银行卡,已完成
O0139,2025-10-29,C040,企业客户,数码,1,304.0,0.12,0.0,0.0,微信支付,已取消
O0140,2025-03-15,C015,会员客户,食品,1,792.0,0.08,728.64,228.67,微信支付,已完成
O0141,2025-06-22,C039,普通客户,食品,6,1164.0,0.02,6844.32,1658.9,支付宝,已完成
O0142,2025-09-06,C036,普通客户,服装,7,1430.0,0.02,9809.8,3102.09,微信支付,已完成
O0143,2025-12-29,C018,普通客户,数码,5,273.0,0.02,1337.7,343.85,微信支付,已完成
O0144,2025-05-20,C013,企业客户,食品,4,716.0,0.12,0.0,0.0,微信支付,已取消
O0145,2025-04-07,C007,企业客户,服装,1,750.0,0.12,660.0,255.53,银行卡,已完成
O0146,2025-07-28,C032,普通客户,食品,1,1333.0,0.02,1306.34,449.43,支付宝,已完成
O0147,2025-04-18,C035,普通客户,图书,1,1310.0,0.02,1283.8,565.21,支付宝,已完成
O0148,2025-08-07,C012,会员客户,图书,3,1002.0,0.08,2765.52,-138.28,银行卡,已退款
O0149,2025-04-04,C025,普通客户,图书,1,1108.0,0.02,1085.84,460.9,微信支付,已完成
O0150,2025-07-04,C038,普通客户,图书,4,232.0,0.02,909.44,-45.47,银行卡,已退款
O0151,2025-06-15,C024,普通客户,食品,7,1222.0,0.02,8382.92,2946.91,支付宝,已完成
O0152,2025-08-04,C005,会员客户,服装,6,1041.0,0.08,5746.32,2270.08,微信支付,已完成
O0153,2025-05-06,C031,企业客户,服装,2,1090.0,0.12,1918.4,493.32,支付宝,已完成
O0154,2025-12-12,C041,普通客户,食品,7,1308.0,0.02,0.0,0.0,微信支付,已取消
O0155,2025-09-25,C001,普通客户,图书,1,189.0,0.02,185.22,69.57,微信支付,已完成
O0156,2025-11-09,C047,普通客户,家居,3,518.0,0.02,1522.92,420.15,支付宝,已完成
O0157,2025-06-17,C036,普通客户,数码,2,709.0,0.02,1389.64,324.83,微信支付,已完成
O0158,2025-11-15,C036,普通客户,服装,6,696.0,0.02,4092.48,1357.2,支付宝,已完成
O0159,2025-07-29,C007,普通客户,服装,1,821.0,0.02,804.58,278.63,支付宝,已完成
O0160,2025-07-31,C030,企业客户,数码,1,701.0,0.12,616.88,161.84,微信支付,已完成
O0161,2025-12-14,C007,会员客户,图书,3,52.0,0.08,143.52,51.3,微信支付,已完成
O0162,2025-04-17,C026,会员客户,家居,4,426.0,0.08,1567.68,388.58,微信支付,已完成
O0163,2025-07-14,C017,普通客户,图书,2,254.0,0.02,497.84,161.17,支付宝,已完成
O0164,2025-10-27,C011,普通客户,家居,6,92.0,0.02,540.96,188.14,银行卡,已完成
O0165,2025-09-18,C042,会员客户,服装,1,292.0,0.08,268.64,102.28,支付宝,已完成
O0166,2025-05-18,C030,普通客户,食品,3,1252.0,0.02,3680.88,1641.74,支付宝,已完成
O0167,2025-01-29,C034,会员客户,家居,6,682.0,0.08,3764.64,834.21,银行卡,已完成
O0168,2025-03-16,C035,普通客户,服装,1,387.0,0.02,379.26,145.12,支付宝,已完成
O0169,2025-08-21,C017,会员客户,家居,3,1125.0,0.08,3105.0,1276.42,银行卡,已完成
O0170,2025-01-18,C009,企业客户,食品,2,77.0,0.12,0.0,0.0,支付宝,已取消
O0171,2025-05-06,C020,会员客户,家居,3,1245.0,0.08,0.0,0.0,支付宝,已取消
O0172,2025-02-20,C003,普通客户,服装,7,1414.0,0.02,9700.04,2411.57,银行卡,已完成
O0173,2025-12-27,C031,会员客户,数码,3,269.0,0.08,0.0,0.0,银行卡,已取消
O0174,2025-09-20,C043,普通客户,图书,1,640.0,0.02,627.2,242.02,微信支付,已完成
O0175,2025-01-02,C028,普通客户,食品,1,677.0,0.02,663.46,127.57,银行卡,已完成
O0176,2025-01-28,C014,企业客户,家居,3,1238.0,0.12,3268.32,1121.02,微信支付,已完成
O0177,2025-07-26,C021,会员客户,数码,5,793.0,0.08,3647.8,1547.58,支付宝,已完成
O0178,2025-04-18,C039,普通客户,图书,3,795.0,0.02,2337.3,758.17,支付宝,已完成
O0179,2025-09-12,C027,普通客户,食品,3,1302.0,0.02,3827.88,1443.88,支付宝,已完成
O0180,2025-05-26,C011,企业客户,图书,3,807.0,0.12,2130.48,785.6,支付宝,已完成
